Date,Open,High,Low,Close,Adj Close,Volume
2018-10-31,108.250000,109.019997,106.459999,106.540001,91.914246,3620800
2018-11-01,106.889999,108.160004,105.940002,107.519997,92.759697,2897800
2018-11-02,107.099998,107.669998,105.480003,105.989998,91.439743,2854000
2018-11-05,106.419998,107.449997,106.029999,106.820000,92.155815,2445600
2018-11-06,106.760002,108.889999,106.459999,108.650002,93.734581,2582900
2018-11-07,109.239998,111.320000,108.010002,111.129997,95.874138,3720900
2018-11-08,110.839996,111.949997,110.750000,111.500000,96.193344,2566400
2018-11-09,111.889999,112.129997,109.220001,109.510002,94.476524,3377000
2018-11-12,109.750000,110.449997,107.480003,107.720001,92.932266,1810300
2018-11-13,108.070000,110.519997,108.000000,109.400002,94.381638,3578300
2018-11-14,110.459999,112.070000,108.370003,109.500000,94.467896,2964400
2018-11-15,108.970001,110.989998,107.400002,110.449997,95.287491,3303700
2018-11-16,109.440002,110.790001,108.809998,110.089996,95.765923,2583900
2018-11-19,110.110001,111.910004,109.889999,111.290001,96.809792,2932500
2018-11-20,110.290001,110.800003,108.029999,108.510002,94.391510,3485400
2018-11-21,109.000000,109.709999,108.489998,108.769997,94.617661,1660600
2018-11-23,108.830002,109.980003,108.250000,108.690002,94.548080,835900
2018-11-26,109.910004,110.919998,109.040001,110.639999,96.244354,3400000
2018-11-27,110.110001,111.559998,109.629997,111.510002,97.001167,1933800
2018-11-28,111.639999,113.620003,110.930000,113.550003,98.775742,2322000
2018-11-29,113.110001,113.930000,112.360001,113.260002,98.523468,1998400
2018-11-30,113.739998,115.440002,113.190002,115.290001,100.289330,3564200
2018-12-03,116.620003,117.290001,113.779999,115.269997,100.271935,3529800
2018-12-04,113.599998,113.779999,105.849998,106.769997,92.877899,6865900
2018-12-06,106.139999,108.099998,105.379997,108.040001,93.982658,4269600
2018-12-07,108.029999,109.339996,104.470001,105.320000,91.616570,3172100
2018-12-10,104.660004,105.489998,100.889999,104.400002,90.816277,3993400
2018-12-11,105.779999,106.400002,102.279999,103.580002,90.102966,2382600
2018-12-12,104.669998,104.900002,101.169998,101.209999,88.041313,4453700
2018-12-13,101.330002,101.849998,99.750000,100.779999,87.667252,3490500
2018-12-14,99.870003,100.040001,97.540001,98.660004,85.823097,4532200
2018-12-17,98.400002,98.830002,96.360001,96.870003,84.265999,4649200
2018-12-18,97.879997,99.070000,96.699997,97.279999,84.622673,3404700
2018-12-19,93.709999,98.550003,93.260002,94.320000,82.047798,6326000
2018-12-20,94.480003,95.779999,92.690002,93.940002,81.717255,5200000
2018-12-21,93.550003,95.279999,93.160004,93.500000,81.334480,7889200
2018-12-24,93.029999,93.349998,89.889999,89.889999,78.194176,2728300
2018-12-26,90.830002,96.779999,89.940002,96.610001,84.039833,6259400
2018-12-27,95.239998,97.779999,94.080002,97.779999,85.057602,4335500
2018-12-28,98.180000,98.820000,96.139999,96.529999,83.970238,2972200
2018-12-31,96.860001,97.559998,96.440002,97.529999,84.840134,2656700
2019-01-02,96.120003,97.360001,95.779999,97.209999,84.561768,3297300
2019-01-03,96.470001,96.650002,94.190002,94.449997,82.160873,2705000
2019-01-04,96.190002,97.930000,95.830002,97.739998,85.022812,3347300
2019-01-07,97.480003,98.150002,96.180000,97.410004,84.735764,3795700
2019-01-08,98.459999,99.110001,96.529999,97.419998,84.744453,3034300
2019-01-09,97.589996,98.330002,97.160004,97.919998,85.179382,3678200
2019-01-10,97.400002,99.139999,96.849998,98.910004,86.040596,2432200
2019-01-11,98.290001,98.959999,97.309998,97.910004,85.170685,5282800
2019-01-14,97.330002,99.650002,96.629997,99.139999,86.240646,4731000
2019-01-15,99.139999,99.139999,96.820000,97.559998,84.866241,4777100
2019-01-16,97.900002,98.949997,96.870003,96.989998,84.370384,4463400
2019-01-17,96.949997,99.650002,96.800003,99.580002,86.623390,4004300
2019-01-18,100.430000,101.870003,100.110001,101.599998,88.380577,4249100
2019-01-22,101.500000,103.000000,101.150002,102.680000,89.320053,5593900
2019-01-23,103.040001,103.129997,99.239998,100.919998,87.789055,4573100
2019-01-24,100.360001,100.639999,98.830002,99.699997,86.727806,2807000
2019-01-25,100.699997,101.739998,100.000000,100.830002,87.710777,3445500
2019-01-28,99.870003,100.620003,98.910004,100.330002,87.275826,3126200
2019-01-29,100.370003,101.330002,99.779999,101.300003,88.119629,2209000
2019-01-30,101.889999,102.050003,100.250000,101.190002,88.023918,4013000
2019-01-31,105.500000,108.000000,102.750000,105.400002,91.686150,7327400
2019-02-01,105.720001,106.500000,105.260002,106.089996,92.286377,3526100
2019-02-04,106.000000,106.589996,105.419998,106.580002,92.712624,3184700
2019-02-05,106.809998,107.709999,106.040001,107.660004,93.652092,3690400
2019-02-06,107.449997,108.839996,107.169998,108.820000,94.661156,4490600
2019-02-07,108.349998,108.949997,107.389999,107.940002,93.895668,3395700
2019-02-08,107.389999,108.120003,106.739998,108.099998,94.034851,2951000
2019-02-11,108.209999,109.019997,107.889999,108.930000,94.756844,2765300
2019-02-12,109.559998,110.790001,109.559998,110.660004,96.261757,2881600
2019-02-13,111.000000,112.059998,110.480003,112.010002,97.436096,2731500
2019-02-14,111.410004,112.169998,110.610001,111.800003,97.253441,2359400
2019-02-15,110.930000,111.949997,109.620003,110.870003,96.444405,4273400
2019-02-19,110.900002,111.750000,110.169998,110.769997,96.357437,2658700
2019-02-20,110.930000,111.160004,110.400002,111.070000,96.618416,3346700
2019-02-21,110.769997,112.279999,110.709999,111.760002,97.218658,2260100
2019-02-22,111.889999,111.889999,107.849998,110.360001,96.000786,4085000
